Name,Record,Age,Height,Weight,Reach
Kenan Song,16/5/0,31,6.0,170,71.5
Max Griffen,16/8/0,35,5.9,170,76
Adrian Yanez,12/3/0,27,5.6,135,70
Gustavo Lopez,12/5/0,31,5.4,135,67
Tai Tuivasa,11/3/0,28,6.2,264,75
Don'Tale Mayes,8/4/0,29,6.5,260,81
Gregor Gillespie,13/1/0,34,5.6,155,71
Brad Riddell,9/1/0,29,5.6,155,71
Derek Brunson,21/7/0,37,6.1,185,77
Kevin Holland,21/5/0,28,6.2,185,81

