Fight #,Projected Winner,Odds
1,Marvin Vettori,20%
2,Arnold Allen,20%
3,Aliaskhab Khizriev,60%
4,Sam Alvey,70%
5,Nina Ansaroff,30%
6,Daniel Rodriguez,70%
7,Joe Solecki,10%
8,N/A,50% / 50%
9,N/A,50% / 50%
10,Ignacio Bahamondes,50%
11,Jarjis Danho,70%
12,Jack Shore,50%
13,Jordan Griffin,10%
14,Da-Un Jung,40%
15,Impa Kasanganay,10%
