Fight #,Projected Winner,Confidence Interval
1,Rob Font,60%
2,Yan Xiaonan,40%
3,Jared Vanderaa,30%
4,Norma Dumont,40%
5,Raulian Paiva,60%
6,Edmen Shahbazyan,10%
7,Ricardo Ramos,10%
8,Ben Rothwell,10%10%
9,Claudio Silva,10%
10,Bruno Silva,20%
11,Josh Culibao,40%
12,no call,N/A
13,Damir Ismagulov,30%
